ID	X	Y	landcover
618	69.8125	43.1875	17
619	69.9375	43.1875	17
620	70.0625	43.1875	17
621	67.0625	43.0625	16
622	67.1875	43.0625	19
623	67.3125	43.0625	19
624	67.4375	43.0625	19
625	67.5625	43.0625	16
626	67.6875	43.0625	16
627	67.8125	43.0625	17
628	67.9375	43.0625	18
629	68.0625	43.0625	17
630	68.1875	43.0625	16
631	68.3125	43.0625	16
632	68.4375	43.0625	16
633	68.5625	43.0625	17
634	68.6875	43.0625	9
635	68.8125	43.0625	16
636	68.9375	43.0625	17
637	69.0625	43.0625	17
638	69.1875	43.0625	17
639	69.3125	43.0625	17
640	69.4375	43.0625	17
641	69.5625	43.0625	17
642	69.6875	43.0625	17
643	69.8125	43.0625	17
644	69.9375	43.0625	17
645	70.0625	43.0625	17
646	70.1875	43.0625	17
647	70.3125	43.0625	17
648	70.4375	43.0625	17
649	66.9375	42.9375	16
650	67.0625	42.9375	16
651	67.1875	42.9375	19
652	67.3125	42.9375	19
653	67.4375	42.9375	19
654	67.5625	42.9375	19
655	67.6875	42.9375	16
656	67.8125	42.9375	16
657	67.9375	42.9375	17
658	68.0625	42.9375	17
659	68.1875	42.9375	16
660	68.3125	42.9375	17
661	68.4375	42.9375	16
662	68.5625	42.9375	16
663	68.6875	42.9375	17
664	68.8125	42.9375	17
665	68.9375	42.9375	9
666	69.0625	42.9375	17
667	69.1875	42.9375	16
668	69.3125	42.9375	16
669	69.4375	42.9375	17
670	69.5625	42.9375	17
671	69.6875	42.9375	17
672	69.8125	42.9375	17
673	69.9375	42.9375	17
674	70.0625	42.9375	17
675	70.1875	42.9375	17
676	70.3125	42.9375	17
677	70.4375	42.9375	17
678	70.5625	42.9375	17
679	66.9375	42.8125	16
680	67.0625	42.8125	20
681	67.1875	42.8125	19
682	67.3125	42.8125	19
683	67.4375	42.8125	19
684	67.5625	42.8125	20
685	67.6875	42.8125	20
686	67.8125	42.8125	16
687	67.9375	42.8125	16
688	68.0625	42.8125	16
689	68.1875	42.8125	17
690	68.3125	42.8125	9
691	68.4375	42.8125	16
692	68.5625	42.8125	16
693	68.6875	42.8125	17
694	68.8125	42.8125	17
695	68.9375	42.8125	9
696	69.0625	42.8125	9
697	69.1875	42.8125	9
698	69.3125	42.8125	17
699	69.4375	42.8125	9
700	69.5625	42.8125	9
701	69.6875	42.8125	9
702	69.8125	42.8125	17
703	69.9375	42.8125	17
704	70.0625	42.8125	17
705	70.1875	42.8125	17
706	70.3125	42.8125	17
707	70.4375	42.8125	17
708	70.5625	42.8125	17
709	66.9375	42.6875	16
710	67.0625	42.6875	20
711	67.1875	42.6875	16
712	67.3125	42.6875	16
713	67.4375	42.6875	16
714	67.5625	42.6875	16
715	67.6875	42.6875	16
716	67.8125	42.6875	16
717	67.9375	42.6875	16
718	68.0625	42.6875	16
719	68.1875	42.6875	16
720	68.3125	42.6875	16
721	68.4375	42.6875	16
722	68.5625	42.6875	17
723	68.6875	42.6875	17
724	68.8125	42.6875	16
725	68.9375	42.6875	17
726	69.0625	42.6875	17
727	69.1875	42.6875	17
728	69.3125	42.6875	17
729	69.4375	42.6875	17
730	69.5625	42.6875	9
731	69.6875	42.6875	9
732	69.8125	42.6875	17
733	69.9375	42.6875	9
734	70.0625	42.6875	9
735	70.1875	42.6875	17
736	70.3125	42.6875	17
737	70.4375	42.6875	17
738	67.1875	42.5625	16
739	67.3125	42.5625	16
740	67.4375	42.5625	16
741	67.5625	42.5625	16
742	67.6875	42.5625	16
743	67.8125	42.5625	16
744	67.9375	42.5625	16
745	68.0625	42.5625	16
746	68.1875	42.5625	16
747	68.3125	42.5625	16
748	68.4375	42.5625	16
749	68.5625	42.5625	16
750	68.6875	42.5625	16
751	68.8125	42.5625	16
752	68.9375	42.5625	17
753	69.0625	42.5625	16
754	69.1875	42.5625	9
755	69.3125	42.5625	9
756	69.4375	42.5625	9
757	69.5625	42.5625	9
758	69.6875	42.5625	9
759	69.8125	42.5625	9
760	69.9375	42.5625	9
761	70.0625	42.5625	9
762	70.1875	42.5625	17
763	70.3125	42.5625	9
764	70.4375	42.5625	17
765	70.5625	42.5625	17
766	70.6875	42.5625	17
767	67.4375	42.4375	16
768	67.5625	42.4375	16
769	67.6875	42.4375	16
770	67.8125	42.4375	16
771	67.9375	42.4375	16
772	68.0625	42.4375	16
773	68.1875	42.4375	16
774	68.3125	42.4375	16
775	68.4375	42.4375	16
776	68.5625	42.4375	16
777	68.6875	42.4375	16
778	68.8125	42.4375	16
779	68.9375	42.4375	9
780	69.0625	42.4375	17
781	69.1875	42.4375	9
782	69.3125	42.4375	9
783	69.4375	42.4375	9
784	69.5625	42.4375	17
785	69.6875	42.4375	17
786	69.8125	42.4375	9
787	69.9375	42.4375	9
788	70.0625	42.4375	17
789	70.1875	42.4375	17
790	70.3125	42.4375	17
791	70.4375	42.4375	17
792	70.5625	42.4375	17
793	70.6875	42.4375	17
794	70.8125	42.4375	17
795	74.1875	42.4375	24
796	74.3125	42.4375	17
797	74.4375	42.4375	24
798	74.5625	42.4375	24
799	74.6875	42.4375	24
800	74.8125	42.4375	24
801	67.5625	42.3125	16
802	67.6875	42.3125	16
803	67.8125	42.3125	16
804	67.9375	42.3125	16
805	68.0625	42.3125	16
806	68.1875	42.3125	16
807	68.3125	42.3125	16
808	68.4375	42.3125	16
809	68.5625	42.3125	16
810	68.6875	42.3125	16
811	68.8125	42.3125	16
812	68.9375	42.3125	17
813	69.0625	42.3125	17
814	69.1875	42.3125	17
815	69.3125	42.3125	17
816	69.4375	42.3125	17
817	69.5625	42.3125	17
818	69.6875	42.3125	9
819	69.8125	42.3125	9
820	69.9375	42.3125	9
821	70.0625	42.3125	17
822	70.1875	42.3125	17
823	70.3125	42.3125	17
824	70.4375	42.3125	17
825	70.5625	42.3125	17
826	70.6875	42.3125	17
827	70.8125	42.3125	17
828	70.9375	42.3125	17
829	71.0625	42.3125	17
830	71.1875	42.3125	17
831	72.5625	42.3125	17
832	72.6875	42.3125	17
833	72.9375	42.3125	17
834	73.0625	42.3125	17
835	73.1875	42.3125	17
836	73.3125	42.3125	17
837	73.4375	42.3125	17
838	73.5625	42.3125	17
839	73.6875	42.3125	17
840	73.8125	42.3125	17
841	73.9375	42.3125	17
842	74.0625	42.3125	17
843	74.1875	42.3125	17
844	74.3125	42.3125	17
845	74.4375	42.3125	17
846	74.5625	42.3125	17
847	74.6875	42.3125	17
848	74.8125	42.3125	17
849	67.4375	42.1875	16
850	67.5625	42.1875	16
851	67.6875	42.1875	16
852	67.8125	42.1875	16
853	67.9375	42.1875	16
854	68.0625	42.1875	9
855	68.1875	42.1875	17
856	68.3125	42.1875	16
857	68.4375	42.1875	16
858	68.5625	42.1875	16
859	68.6875	42.1875	16
860	68.8125	42.1875	16
861	68.9375	42.1875	17
862	69.0625	42.1875	17
863	69.1875	42.1875	17
864	69.3125	42.1875	17
865	69.4375	42.1875	17
866	69.5625	42.1875	17
867	69.6875	42.1875	9
868	69.8125	42.1875	9
869	69.9375	42.1875	17
870	70.0625	42.1875	17
871	70.1875	42.1875	17
872	70.3125	42.1875	17
873	70.4375	42.1875	17
874	70.5625	42.1875	17
875	70.6875	42.1875	17
876	70.8125	42.1875	17
877	70.9375	42.1875	17
878	71.0625	42.1875	17
879	71.1875	42.1875	24
880	71.3125	42.1875	24
881	71.4375	42.1875	17
882	71.5625	42.1875	17
883	71.6875	42.1875	17
884	71.8125	42.1875	17
885	71.9375	42.1875	17
886	72.1875	42.1875	17
887	72.3125	42.1875	17
888	72.4375	42.1875	17
889	72.5625	42.1875	17
890	72.6875	42.1875	17
891	72.8125	42.1875	17
892	72.9375	42.1875	17
893	73.0625	42.1875	17
894	73.1875	42.1875	17
895	73.3125	42.1875	17
896	73.4375	42.1875	17
897	73.5625	42.1875	17
898	73.6875	42.1875	17
899	73.8125	42.1875	17
900	73.9375	42.1875	18
901	74.0625	42.1875	17
902	74.1875	42.1875	17
903	74.3125	42.1875	17
904	74.4375	42.1875	17
905	74.5625	42.1875	17
906	74.6875	42.1875	17
907	74.8125	42.1875	17
908	74.9375	42.1875	17
909	75.0625	42.1875	17
910	75.1875	42.1875	17
911	67.4375	42.0625	16
912	67.5625	42.0625	16
913	67.6875	42.0625	16
914	67.8125	42.0625	16
915	67.9375	42.0625	9
916	68.0625	42.0625	18
917	68.1875	42.0625	17
918	68.3125	42.0625	16
919	68.4375	42.0625	16
920	68.5625	42.0625	16
921	68.6875	42.0625	16
922	68.8125	42.0625	16
923	68.9375	42.0625	17
924	69.0625	42.0625	17
925	69.1875	42.0625	17
926	69.3125	42.0625	17
927	69.4375	42.0625	17
928	69.5625	42.0625	17
929	69.6875	42.0625	17
930	69.8125	42.0625	17
